येस	य े स |
खिलानै	ख ि ल ा न ै |
एकबेर	ए क ब े र |
करबैई	क र ब ै ई |
सावधानी	स ा व ध ा न ी |
छपाई	छ प ा ई |
पाबय	प ा ब य |
प्रतिसत	प ् र त ि स त |
इंश्योरेंसबा	इ ं श ् य ो र े ं स ब ा |
थोड़ा	थ ो ड़ ा |
सकेनी	स क े न ी |
दूसरा	द ू स र ा |
बिज़नेस	ब ि ज़ न े स |
करार	क र ा र |
बीमाधारी	ब ी म ा ध ा र ी |
ढ़ेरी	ढ़ े र ी |
मंहगो	म ं ह ग ो |
व्यपारो	व ् य प ा र ो |
मुरे	म ु र े |
चालु	च ा ल ु |
परैय	प र ै य |
रसायनों	र स ा य न ो ं |
पसु	प स ु |
बचावी	ब च ा व ी |
मृत	म ृ त |
पुनर	प ु न र |
बड़ा	ब ड ़ ा |
कहाॅं	क ह ा ॅ ं |
सकलय	स क ल य |
पोर्टल	प ो र ् ट ल |
उगवय	उ ग व य |
हल्दी	ह ल ् द ी |
डेवलप	ड े व ल प |
चारु	च ा र ु |
घिरलो	घ ि र ल ो |
घोटाला	घ ो ट ा ल ा |
घूस	घ ू स |
लेनाय	ल े न ा य |
दहाड़	द ह ा ड़ |
बदलला	ब द ल ल ा |
गायरंटर	ग ा य र ं ट र |
वादा	व ा द ा |
ठो	ठ ो |
ओमेगा	ओ म े ग ा |
थ्री	थ ् र ी |
वजह	व ज ह |
सूपरफुड	स ू प र फ ु ड |
संज्ञा	स ं ज ् ञ ा |
पिछलो	प ि छ ल ो |
बजाय	ब ज ा य |
विनोइंग	व ि न ो इ ं ग |
खरीदी	ख र ी द ी |
उष्णकटिबंधीय	उ ष ् ण क ट ि ब ं ध ी य |
गर्भ	ग र ् भ |
धारण	ध ा र ण |
पैदा	प ै द ा |
उपजैला	उ प ज ै ल ा |
अवगुण	अ व ग ु ण |
अवगत	अ व ग त |
करौलैन	क र ौ ल ै न |
खोलेबै	ख ो ल े ब ै |
रद्द	र द ् द |
अर्निंग	अ र ् न ि ं ग |
बेसीकाल	ब े स ी क ा ल |
खरचा	ख र च ा |
रोपेलै	र ो प े ल ै |
उपजलै	उ प ज ल ै |
सर्वेक्षण	स र ् व े क ् ष ण |
रेगुलेशन	र े ग ु ल े श न |
रस्ता	र स ् त ा |
नौकरीक	न ौ क र ी क |
अभावमे	अ भ ा व म े |
बित्तीय	ब ि त ् त ी य |
सनतानबे	स न त ा न ब े |
मोनसँ	म ो न स ँ |
खुलासा	ख ु ल ा स ा |
देसक	द े स क |
हरापन	ह र ा प न |
संगणक	स ं ग ण क |
भागी	भ ा ग ी |
लोकनिक	ल ो क न ि क |
गुल्लरि	ग ु ल ् ल र ि |
अधिकाँश	अ ध ि क ा ँ श |
एही	ए ह ी |
बनबैत	ब न ब ै त |
मूक	म ू क |
रोपअ	र ो प अ |
मुद्रान्तरण	म ु द ् र ा न ् त र ण |
बराबैर	ब र ा ब ै र |
कंद	क ं द |
मनुषक	म न ु ष क |
स्फूर्ति	स ् फ ू र ् त ि |
भुस्सा	भ ु स ् स ा |
चोकर	च ो क र |
खड़	ख ड़ |
भूकंप	भ ू क ं प |
सुखबय	स ु ख ब य |
पुस्तक	प ु स ् त क |
पुस्तकालय	प ु स ् त क ा ल य |
घोली	घ ो ल ी |
भूर	भ ू र |
कैंची	क ै ं च ी |
अन्नदाताक	अ न ् न द ा त ा क |
कहब	क ह ब |
खढ़पतवार	ख ढ़ प त व ा र |
छीटै	छ ी ट ै |
बदलत	ब द ल त |
सुचारु	स ु च ा र ु |
पाकि	प ा क ि |
पोथी	प ो थ ी |
बातो	ब ा त ो |
उत्तराखंड	उ त ् त र ा ख ं ड |
पैनेहे	प ै न े ह े |
हाथै	ह ा थ ै |
रुई	र ु ई |
सूती	स ू त ी |
मौंसक	म ौ ं स क |
पिछलका	प ि छ ल क ा |
देखाबो	द े ख ा ब ो |
निक	न ि क |
होब	ह ो ब |
पूछताछ	प ू छ त ा छ |
देखाबै	द े ख ा ब ै |
धानकटनी	ध ा न क ट न ी |
बेचैत	ब े च ै त |
चरणो	च र ण ो |
हलका	ह ल क ा |
ईत्यादी	ई त ् य ा द ी |
क्रस्टेशिया	क ् र स ् ट े श ि य ा |
नम्य	न म ् य |
मसूरी	म स ू र ी |
मॉनी	म ॉ न ी |
सिलेंडर	स ि ल े ं ड र |
येई	य े ई |
सिबिल	स ि ब ि ल |
स्टीबिया	स ् ट ी ब ि य ा |
मिनट	म ि न ट |
मोहिनी	म ो ह ि न ी |
पढ़लकै	प ढ़ ल क ै |
एलपैका	ए ल प ै क ा |
खादी	ख ा द ी |
ग्रामो	ग ् र ा म ो |
डाललो	ड ा ल ल ो |
चोराय	च ो र ा य |
भरी	भ र ी |
विला	व ि ल ा |
इन्जीनियर	इ न ् ज ी न ि य र |
किनलो	क ि न ल ो |
द्वितीय	द ् व ि त ी य |
फसलो	फ स ल ो |
देतै	द े त ै |
सामुहिक	स ा म ु ह ि क |
मददगार	म द द ग ा र |
अलसी	अ ल स ी |
तीसी	त ी स ी |
वार्निस	व ा र ् न ि स |
कामों	क ा म ो ं |
उपहार	उ प ह ा र |
तोहफा	त ो ह फ ा |
गिफ्ट	ग ि फ ् ट |
सोगात	स ो ग ा त |
झंझट	झ ं झ ट |
आटो	आ ट ो |
साबुदाना	स ा ब ु द ा न ा |
इनाम	इ न ा म |
पराली	प र ा ल ी |
हटाय	ह ट ा य |
हेई	ह े ई |
अपनैलो	अ प न ै ल ो |
एयरोपोनिक्स	ए य र ो प ो न ि क ् स |
क्यो	क ् य ो |
परिक्षण	प र ि क ् ष ण |
पटवनो	प ट व न ो |
लहसुन	ल ह स ु न |
छिरकाव	छ ि र क ा व |
बानि	ब ा न ि |
हमारा	ह म ा र ा |
होव	ह ो व |
हेय	ह े य |
पचीस	प च ी स |
पेंशनरक	प े ं श न र क |
खातामे	ख ा त ा म े |
करेन्ट	क र े न ् ट |
खोलब	ख ो ल ब |
सोयाबीन	स ो य ा ब ी न |
कन्वा	क न ् व ा |
बचाब	ब च ा ब |
दुर्व्यवहार	द ु र ् व ् य व ह ा र |
कयलकैन	क य ल क ै न |
विषयक	व ि ष य क |
जतअ	ज त अ |
ग्यारह	ग ् य ा र ह |
पीलिया	प ी ल ि य ा |
नस्लो	न स ् ल ो |
बकरिया	ब क र ि य ा |
पाएलो	प ा ए ल ो |
करीके	क र ी क े |
कीनी	क ी न ी |
प्रबंधक	प ् र ब ं ध क |
भुलाय	भ ु ल ा य |
करहो	क र ह ो |
किनबाक	क ि न ब ा क |
असुलैत	अ स ु ल ै त |
अल्लुक	अ ल ् ल ु क |
मुरयक	म ु र य क |
एतय	ए त य |
कैच	क ै च |
क्रॉप	क ् र ॉ प |
मालजालक	म ा ल ज ा ल क |
पैखानाक	प ै ख ा न ा क |
खादकेर	ख ा द क े र |
भखना	भ ख न ा |
पिपुर	प ि प ु र |
आदिसँ	आ द ि स ँ |
फेसबुक	फ े स ब ु क |
नचनिया	न च न ि य ा |
नाचिकए	न ा च ि क ए |
कमा	क म ा |
जूलल	ज ू ल ल |
लेबासँ	ल े ब ा स ँ |
शैबाल	श ै ब ा ल |
कजलीक	क ज ल ी क |
डाय	ड ा य |
आंकड़ा	आ ं क ड़ ा |
भुजल	भ ु ज ल |
काँफीक	क ा ँ फ ी क |
पाउडर	प ा उ ड र |
पूछब	प ू छ ब |
किकलेब	क ि क ल े ब |
रसीद	र स ी द |
कटैय	क ट ै य |
कारवावे	क ा र व ा व े |
फॉर्म	फ ॉ र ् म |
कहैय	क ह ै य |
ओकरौ	ओ क र ौ |
रिसीव	र ि स ी व |
जोगाकए	ज ो ग ा क ए |
रखने	र ख न े |
चकचक	च क च क |
रूपिया	र ू प ि य ा |
बदलबाक	ब द ल ब ा क |
पाइके	प ा इ क े |
राखैत	र ा ख ै त |
मेढ़	म े ढ़ |
स्ट्रीप	स ् ट ् र ी प |
जोतब	ज ो त ब |
जड़िक	ज ड़ ि क |
एतेक	ए त े क |
अहाँके	अ ह ा ँ क े |
स्वीकृत	स ् व ी क ृ त |
त्रिभुवनदास	त ् र ि भ ु व न द ा स |
पटेल	प ट े ल |
सितुआ	स ि त ु आ |
पान	प ा न |
सुपाड़ी	स ु प ा ड़ ी |
लोत	ल ो त |
रोपने	र ो प न े |
छैकै	छ ै क ै |
तिलहन	त ि ल ह न |
मूंगफली	म ू ं ग फ ल ी |
बढ़ाय	ब ढ़ ा य |
बिधि	ब ि ध ि |
पहुँचावै	प ह ु ँ च ा व ै |
फैली	फ ै ल ी |
रैहलो	र ै ह ल ो |
किनला	क ि न ल ा |
पेस	प े स |
बिदेसी	ब ि द े स ी |
बिकासशील	ब ि क ा स श ी ल |
आर.टी.जी	आ र . ट ी . ज ी |
दोसराक	द ो स र ा क |
शोषणक	श ो ष ण क |
आश्रित	आ श ् र ि त |
मानसूनी	म ा न स ू न ी |
गांछ	ग ा ं छ |
सादा	स ा द ा |
पतला	प त ल ा |
जापान	ज ा प ा न |
विशिष्ट	व ि श ि ष ् ट |
बितरण	ब ि त र ण |
पक्ष	प क ् ष |
ग्रेडिंग	ग ् र े ड ि ं ग |
मा	म ा |
रोपाय	र ो प ा य |
कटला	क ट ल ा |
मंगैलो	म ं ग ै ल ो |
इस्तेमालो	इ स ् त े म ा ल ो |
कल्याणों	क ल ् य ा ण ो ं |
जाता	ज ा त ा |
आबी	आ ब ी |
दसखत	द स ख त |
करेन्सी	क र े न ् स ी |
बदललो	ब द ल ल ो |
हमे	ह म े |
क्षरण	क ् ष र ण |
बलूआही	ब ल ू आ ह ी |
नाली	न ा ल ी |
सकैय	स क ै य |
गेहूँमक	ग े ह ू ँ म क |
वालाक	व ा ल ा क |
खोलवाय	ख ो ल व ा य |
रेचा	र े च ा |
कोनी	क ो न ी |
करव	क र व |
आगत	आ ग त |
नोकरीक	न ो क र ी क |
यन्त्रकक	य न ् त ् र क क |
सोचि	स ो च ि |
छुटक	छ ु ट क |
दमकल	द म क ल |
केनाइ	क े न ा इ |
आई	आ ई |
सभै	स भ ै |
मनोहर	म न ो ह र |
विभक्त	व ि भ क ् त |
मरते	म र त े |
शुरुआती	श ु र ु आ त ी |
निवेशो	न ि व े श ो |
बटेर	ब ट े र |
तीतर	त ी त र |
तरकी	त र क ी |
खरगोस	ख र ग ो स |
सलभ	स ल भ |
लम्बाई	ल म ् ब ा ई |
वगैरह	व ग ै र ह |
लगय	ल ग य |
कोलकाता	क ो ल क ा त ा |
लगां	ल ग ा ं |
उठैलकै	उ ठ ै ल क ै |
वंश	व ं श |
बढ़ौतरी	ब ढ़ ौ त र ी |
उद्यमीके	उ द ् य म ी क े |
मिल्लेनियल	म ि ल ् ल े न ि य ल |
मकरसंक्रान्ती	म क र स ं क ् र ा न ् त ी |
मानैलो	म ा न ै ल ो |
मिस्र	म ि स ् र |
विभाजित	व ि भ ा ज ि त |
चापि	च ा प ि |
गहिरका	ग ह ि र क ा |
कथि	क थ ि |
नए	न ए |
ना	न ा |
करबे	क र ब े |
पुछी	प ु छ ी |
केसे	क े स े |
परबाक	प र ब ा क |
पी.एम	प ी . ए म |
स्वनिधि	स ् व न ि ध ि |
बीनने	ब ी न न े |
शबनम	श ब न म |
दिबालियापन	द ि ब ा ल ि य ा प न |
अखबारो	अ ख ब ा र ो |
पाइपलाइन	प ा इ प ल ा इ न |
अल्कोहल	अ ल ् क ो ह ल |
बॉंडों	ब ॉ ं ड ो ं |
शराब	श र ा ब |
एहिपर	ए ह ि प र |
बिचार	ब ि च ा र |
खाट	ख ा ट |
मचान	म च ा न |
अलना	अ ल न ा |
अरगनी	अ र ग न ी |
बर्फ	ब र ् फ |
गुलदाउदी	ग ु ल द ा उ द ी |
लैकॅ	ल ै क ॅ |
पकै	प क ै |
पकी	प क ी |
खिलैला	ख ि ल ै ल ा |
खिलाय	ख ि ल ा य |
बनो	ब न ो |
करतें	क र त े ं |
बराबरी	ब र ा ब र ी |
साइट	स ा इ ट |
टेस्टिंग	ट े स ् ट ि ं ग |
करलें	क र ल े ं |
बेची	ब े च ी |
कमाय	क म ा य |
ऐहनो	ऐ ह न ो |
टिकोला	ट ि क ो ल ा |
पहेलो	प ह े ल ो |
अमीन	अ म ी न |
सीकड़	स ी क ड़ |
फीता	फ ी त ा |
डालने	ड ा ल न े |
रिचा	र ि च ा |
जोड़ी	ज ो ड़ ी |
होता	ह ो त ा |
समुन्द्री	स म ु न ् द ् र ी |
मत्स्यिकी	म त ् स ् य ि क ी |
बैंके	ब ै ं क े |
फेरु	फ े र ु |
बिलो	ब ि ल ो |
केकरै	क े क र ै |
बताना	ब त ा न ा |
फ़्रेंजीपानी	फ़ ् र े ं ज ी प ा न ी |
गंगा	ग ं ग ा |
रेत	र े त |
वहाँ	व ह ा ँ |
तारबूज	त ा र ब ू ज |
मिल्लै	म ि ल ् ल ै |
जेतना	ज े त न ा |
ओतने	ओ त न े |
मंहगा	म ं ह ग ा |
लोगों	ल ो ग ो ं |
लान	ल ा न |
लोगे	ल ो ग े |
विख्यात	व ि ख ् य ा त |
खरीक	ख र ी क |
रवि	र व ि |
बिमा	ब ि म ा |
सूजी	स ू ज ी |
सिघाड़ा	स ि घ ा ड़ ा |
परवो	प र व ो |
आयुर्वेद	आ य ु र ् व े द |
पचाय	प च ा य |
केंद्रित	क े ं द ् र ि त |
जियादा	ज ि य ा द ा |
दी	द ी |
खुल	ख ु ल |
पठौलक	प ठ ौ ल क |
सम्भंधित	स म ् भ ं ध ि त |
कमे	क म े |
आइल	आ इ ल |
मै	म ै |
तेजस्वनी	त े ज स ् व न ी |
काशी	क ा श ी |
ट्रांसजेक्सन	ट ् र ा ं स ज े क ् स न |
दंडनीय	द ं ड न ी य |
मौंस	म ौ ं स |
गांठ	ग ा ं ठ |
अगिला	अ ग ि ल ा |
छीयैन	छ ी य ै न |
चुकेबाक	च ु क े ब ा क |
फ्रीज	फ ् र ी ज |
राजीव	र ा ज ी व |
इंदिरा	इ ं द ि र ा |
आबास	आ ब ा स |
आनने	आ न न े |
पंजाक	प ं ज ा क |
उलटब	उ ल ट ब |
पलटब	प ल ट ब |
घटलाक	घ ट ल ा क |
भेलेय	भ े ल े य |
जड़िमे	ज ड़ ि म े |
रोड	र ो ड |
पेशन	प े श न |
खोलेलासँ	ख ो ल े ल ा स ँ |
बुढ़ापा	ब ु ढ़ ा प ा |
कटतौ	क ट त ौ |
दुनियाँमे	द ु न ि य ा ँ म े |
जतेक	ज त े क |
दुधक	द ु ध क |
तैइस	त ै इ स |
असगरे	अ स ग र े |
पोसते	प ो स त े |
उगाबी	उ ग ा ब ी |
पोसइ	प ो स इ |
पोखरि	प ो ख र ि |
धुर	ध ु र |
बिगहा	ब ि ग ह ा |
होइतो	ह ो इ त ो |
परमानेंट	प र म ा न े ं ट |
पोसे	प ो स े |
बूट	ब ू ट |
कहना	क ह न ा |
जली	ज ल ी |
जाने	ज ा न े |
चाहेय	च ा ह े य |
कटत	क ट त |
खल्ली	ख ल ् ल ी |
बेसन	ब े स न |
सैतालीस	स ै त ा ल ी स |
आजादी	आ ज ा द ी |
बनेलकै	ब न े ल क ै |
कौरी	क ौ र ी |
देबक	द े ब क |
मोहन	म ो ह न |
राखिकेँ	र ा ख ि क े ँ |
मिनरल	म ि न र ल |
मैगनीज	म ै ग न ी ज |
ललिता	ल ल ि त ा |
अंबिका	अ ं ब ि क ा |
देवी	द े व ी |
चढ़ाएल	च ढ़ ा ए ल |
गछरोपनी	ग छ र ो प न ी |
कार्यक्रम	क ा र ् य क ् र म |
चला	च ल ा |
दुष्प्रभाव	द ु ष ् प ् र भ ा व |
उन्नैसम	उ न ् न ै स म |
अथक	अ थ क |
उपजाबैत	उ प ज ा ब ै त |
विधिक	व ि ध ि क |
बॉम्बे	ब ॉ म ् ब े |
छीटल	छ ी ट ल |
हर्बिसाइड	ह र ् ब ि स ा इ ड |
पिओजक	प ि ओ ज क |
आंध्रप्रदेश	आ ं ध ् र प ् र द े श |
एक्टिबेशन	ए क ् ट ि ब े श न |
एक्सपाइरी	ए क ् स प ा इ र ी |
संयुक्ते	स ं य ु क ् त े |
मिल्किंग	म ि ल ् क ि ं ग |
माध्यमसँ	म ा ध ् य म स ँ |
गाए	ग ा ए |
पहुँचाएल	प ह ु ँ च ा ए ल |
खातक	ख ा त क |
जांचि	ज ा ं च ि |
घोड़ा	घ ो ड़ ा |
कुरथी	क ु र थ ी |
बीन	ब ी न |
मद्रास	म द ् र ा स |
फडिंग	फ ड ि ं ग |
बेंचर	ब े ं च र |
फाइनेसिंग	फ ा इ न े स ि ं ग |
औषध	औ ष ध |
भेय	भ े य |
सकेए	स क े ए |
सोखय	स ो ख य |
बड़की	ब ड़ क ी |
भौजीक	भ ौ ज ी क |
बुची	ब ु च ी |
भेजइ	भ े ज इ |
सामानक	स ा म ा न क |
पिता	प ि त ा |
देहपर	द े ह प र |
अन्तरण	अ न ् त र ण |
चलयबा	च ल य ब ा |
राखब	र ा ख ब |
गोशाला	ग ो श ा ल ा |
मेहनति	म े ह न त ि |
बिलियन	ब ि ल ि य न |
बजराक	ब ज र ा क |
न्यायिक	न ् य ा य ि क |
माफ़	म ा फ़ |
घुलैत	घ ु ल ै त |
पोस्ट	प ो स ् ट |
सलाहकारक	स ल ा ह क ा र क |
कब्जक	क ब ् ज क |
मनुष	म न ु ष |
प्राणघातक	प ् र ा ण घ ा त क |
आक्रमण	आ क ् र म ण |
मूस	म ू स |
फूस	फ ू स |
भेलहिपर	भ े ल ह ि प र |
ग्रहण	ग ् र ह ण |
महत्त्वपूर्ण	म ह त ् त ् व प ू र ् ण |
केरातिन	क े र ा त ि न |
तन्यता	त न ् य त ा |
जापानक	ज ा प ा न क |
परिचालनात्मक	प र ि च ा ल न ा त ् म क |
कम्बल	क म ् ब ल |
चित्तकर्षक	च ि त ् त क र ् ष क |
निर्यातक	न ि र ् य ा त क |
मांगक	म ा ं ग क |
नाइजर	न ा इ ज र |
अस्थमा	अ स ् थ म ा |
ट्यूबरोजक	ट ् य ू ब र ो ज क |
केन्या	क े न ् य ा |
फ्रांस	फ ् र ा ं स |
राहुल	र ा ह ु ल |
लेवल	ल े व ल |
बतेलक	ब त े ल क |
हड्डी	ह ड ् ड ी |
ट्रेनक	ट ् र े न क |
हादसामे	ह ा द स ा म े |
रहितै	र ह ि त ै |
गहुम	ग ह ु म |
हाल	ह ा ल |
बलि	ब ल ि |
किसानकआर्थिक	क ि स ा न क आ र ् थ ि क |
सुदृढ़	स ु द ृ ढ़ |
दोमत	द ो म त |
ऑक्सीजन	ऑ क ् स ी ज न |
अनावश्यक	अ न ा व श ् य क |
सेमार	स े म ा र |
कटहरक	क ट ह र क |
मरुआक	म र ु आ क |
मड़ुआ	म ड़ ु आ |
रहतैक	र ह त ै क |
लैंड	ल ै ं ड |
इमप्रिंटर	इ म प ् र ि ं ट र |
जमीनमे	ज म ी न म े |
रोपि	र ो प ि |
मरुस्थलीय	म र ु स ् थ ल ी य |
फर्टिलाइजर	फ र ् ट ि ल ा इ ज र |
बकरीके	ब क र ी क े |
रौदी	र ौ द ी |
लागलौ	ल ा ग ल ौ |
खतरनाक	ख त र न ा क |
लेबोर	ल े ब ो र |
लंदनक	ल ं द न क |
गहुमक	ग ह ु म क |
निकललाक	न ि क ल ल ा क |
पोस्टल	प ो स ् ट ल |
एकांउट	ए क ा ं उ ट |
खोलबाए	ख ो ल ब ा ए |
लफड़ा	ल फ ड़ ा |
खरिदबाक	ख र ि द ब ा क |
पंप	प ं प |
अनुमानक	अ न ु म ा न क |
रोइप	र ो इ प |
सम्बोधन	स म ् ब ो ध न |
कर्म	क र ् म |
गाड़ीक	ग ा ड़ ी क |
लगबैत	ल ग ब ै त |
बोवाई	ब ो व ा ई |
कातिक	क ा त ि क |
तारीक	त ा र ी क |
पिरोबै	प ि र ो ब ै |
भेटति	भ े ट त ि |
लोहरी	ल ो ह र ी |
उल्लास	उ ल ् ल ा स |
मनबैत	म न ब ै त |
लद्दाख	ल द ् द ा ख |
चाभ	च ा भ |
लठबाँस	ल ठ ब ा ँ स |
प्रभेद	प ् र भ े द |
संतुलन	स ं त ु ल न |
बिगड़ैत	ब ि ग ड़ ै त |
सैलरी	स ै ल र ी |
रबी	र ब ी |
देरी	द े र ी |
संरक्षणक	स ं र क ् ष ण क |
जागरूक	ज ा ग र ू क |
सूपक	स ू प क |
भंडारित	भ ं ड ा र ि त |
अनाधिकृत	अ न ा ध ि क ृ त |
जिम्मेवारी	ज ि म ् म े व ा र ी |
पहुँचत	प ह ु ँ च त |
हाटलिस्टो	ह ा ट ल ि स ् ट ो |
जागरूकता	ज ा ग र ू क त ा |
दिखैलो	द ि ख ै ल ो |
सूरजमुखी	स ू र ज म ु ख ी |
ह्रदय	ह ् र द य |
रामप्रसाद	र ा म प ् र स ा द |
बराबरे	ब र ा ब र े |
अजूबा	अ ज ू ब ा |
सच	स च |
गठरी	ग ठ र ी |
लॅ	ल ॅ |
बिसईर	ब ि स ई र |
गेलू	ग े ल ू |
ऐलई	ऐ ल ई |
लती	ल त ी |
मध्य	म ध ् य |
एशियाक	ए श ि य ा क |
असला	अ स ल ा |
लकड़ीएक	ल क ड़ ी ए क |
तरबुजा	त र ब ु ज ा |
ककरी	क क र ी |
जाएद	ज ा ए द |
ट्रेड	ट ् र े ड |
बैरियर	ब ै र ि य र |
शखुआ	श ख ु आ |
शीशो	श ी श ो |
तिलका	त ि ल क ा |
भेद	भ े द |
मल्च	म ल ् च |
भरू	भ र ू |
दण्ड	द ण ् ड |
रहु	र ह ु |
ओसाएल	ओ स ा ए ल |
बरका	ब र क ा |
पेट्रोल	प े ट ् र ो ल |
कटलाक	क ट ल ा क |
कोठी	क ो ठ ी |
बखारी	ब ख ा र ी |
मोहनकेँ	म ो ह न क े ँ |
कियो	क ि य ो |
अगल	अ ग ल |
नगरपालिको	न ग र प ा ल ि क ो |
बुरभी	ब ु र भ ी |
उबरै	उ ब र ै |
लगि	ल ग ि |
कणक	क ण क |
गोरकी	ग ो र क ी |
मैंट	म ै ं ट |
बनाबी	ब न ा ब ी |
डीटेल	ड ी ट े ल |
निकालैला	न ि क ा ल ै ल ा |
पुराना	प ु र ा न ा |
करावे	क र ा व े |
लो	ल ो |
बीमाकृत	ब ी म ा क ृ त |
दानक	द ा न क |
स्वादिष्ट	स ् व ा द ि ष ् ट |
युक्रेन	य ु क ् र े न |
यैह	य ै ह |
मिलमे	म ि ल म े |
पेर	प े र |
सुआस्थ	स ु आ स ् थ |
सुरेश	स ु र े श |
उद्यमिताक	उ द ् य म ि त ा क |
विषयमे	व ि ष य म े |
बतायब	ब त ा य ब |
मिठाई	म ि ठ ा ई |
मायना	म ा य न ा |
जते	ज त े |
प्रखंड	प ् र ख ं ड |
पुरने	प ु र न े |
धूरी	ध ू र ी |
टेडर	ट े ड र |
चटपट	च ट प ट |
बैर	ब ै र |
जनबरी	ज न ब र ी |
पाकय	प ा क य |
नेफेड	न े फ े ड |
अमुल	अ म ु ल |
बोरान	ब ो र ा न |
मैंगनीज	म ै ं ग न ी ज |
जस्ता	ज स ् त ा |
उद्यान	उ द ् य ा न |
पर्यावरणपर	प र ् य ा व र ण प र |
थ्रेसर	थ ् र े स र |
भेटइत	भ े ट इ त |
हैतइ	ह ै त इ |
छिरकाब	छ ि र क ा ब |
तिब्बत	त ि ब ् ब त |
उमेद	उ म े द |
गीर	ग ी र |
पूरापूरी	प ू र ा प ू र ी |
निर्धारणक	न ि र ् ध ा र ण क |
बथानक	ब थ ा न क |
गुलाम	ग ु ल ा म |
अवेत्निया	अ व े त ् न ि य ा |
आधारपर	आ ध ा र प र |
वर्गक	व र ् ग क |
शंघाई	श ं घ ा ई |
अप्राकृतिक	अ प ् र ा क ृ त ि क |
भिन्नताक	भ ि न ् न त ा क |
श्रमिकक	श ् र म ि क क |
पर्यावरणक	प र ् य ा व र ण क |
अपरिपक्व	अ प र ि प क ् व |
जाइतअछि	ज ा इ त अ छ ि |
निर्वनीकरण	न ि र ् व न ी क र ण |
स्थापनाक	स ् थ ा प न ा क |
नील	न ी ल |
परागन	प र ा ग न |
धानों	ध ा न ो ं |
खेतों	ख े त ो ं |
निकलवाय	न ि क ल व ा य |
व्यबसाय	व ् य ब स ा य |
फैदा	फ ै द ा |
मह	म ह |
हल्क	ह ल ् क |
निफिकीर	न ि फ ि क ी र |
हिसाबो	ह ि स ा ब ो |
रोपलो	र ो प ल ो |
भेड़ी	भ े ड़ ी |
भुगतनाक	भ ु ग त न ा क |
राखू	र ा ख ू |
चिंतित	च ि ं त ि त |
वैक्यूम	व ै क ् य ू म |
मलमूत्र	म ल म ू त ् र |
मूल्यबान	म ू ल ् य ब ा न |
अखैन	अ ख ै न |
आधुनिकता	आ ध ु न ि क त ा |
महाशिवरात्रि	म ह ा श ि व र ा त ् र ि |
गुणा	ग ु ण ा |
पहुँचाबैत	प ह ु ँ च ा ब ै त |
बध	ब ध |
सुइख	स ु इ ख |
लीढ़	ल ी ढ़ |
गेलापर	ग े ल ा प र |
रोबोटक	र ो ब ो ट क |
युजर	य ु ज र |
शुरु	श ु र ु |
पाकला	प ा क ल ा |
लागतौ	ल ा ग त ौ |
अन्तरणक	अ न ् त र ण क |
आवेदनपत्र	आ व े द न प त ् र |
डांट	ड ा ं ट |
सुखयला	स ु ख य ल ा |
दुरगंध	द ु र ग ं ध |
आबयबाला	आ ब य ब ा ल ा |
शोधक	श ो ध क |
खुल्ला	ख ु ल ् ल ा |
परेशान	प र े श ा न |
करेबा	क र े ब ा |
बातक	ब ा त क |
सर्वप्रथम	स र ् व प ् र थ म |
जंडो	ज ं ड ो |
सुपरमार्केट	स ु प र म ा र ् क े ट |
काइल	क ा इ ल |
बैठलो	ब ै ठ ल ो |
जिम्मेवार	ज ि म ् म े व ा र |
सितम्बर	स ि त म ् ब र |
बनारस	ब न ा र स |
ओहिना	ओ ह ि न ा |
छोड़ि	छ ो ड़ ि |
मोबाइलक	म ो ब ा इ ल क |
सठि	स ठ ि |
वीडियो	व ी ड ि य ो |
कॉल	क ॉ ल |
इन्वेस्टमेंट	इ न ् व े स ् ट म े ं ट |
फारीए	फ ा र ी ए |
अल्हुआ	अ ल ् ह ु आ |
दरार	द र ा र |
परब	प र ब |
सुखाएब	स ु ख ा ए ब |
टैक्सचर	ट ै क ् स च र |
श्राद्ध	श ् र ा द ् ध |
दाइग	द ा इ ग |
छोड़बाक	छ ो ड़ ब ा क |
सकलै	स क ल ै |
आंकलो	आ ं क ल ो |
बोर्डो	ब ो र ् ड ो |
कोए	क ो ए |
उल्टा	उ ल ् ट ा |
खदानो	ख द ा न ो |
चांदी	च ा ं द ी |
भेराक	भ े र ा क |
सीखाएल	स ी ख ा ए ल |
वर्णन	व र ् ण न |
मोटामोटी	म ो ट ा म ो ट ी |
गिनल	ग ि न ल |
पनरह	प न र ह |
सतरह	स त र ह |
गेना	ग े न ा |
नबंबर	न ब ं ब र |
फुलाएत	फ ु ल ा ए त |
स्टाक	स ् ट ा क |
बिज्ञान	ब ि ज ् ञ ा न |
तैं	त ै ं |
पढ़ब	प ढ़ ब |
पेंटिंग	प े ं ट ि ं ग |
बासठ	ब ा स ठ |
एकतालीस	ए क त ा ल ी स |
बैग	ब ै ग |
सठलै	स ठ ल ै |
आबश्यक	आ ब श ् य क |
बढ़लै	ब ढ़ ल ै |
देशमे	द े श म े |
डिजीटल	ड ि ज ी ट ल |
सिंघाड़ा	स ि ं घ ा ड़ ा |
तोरइ	त ो र इ |
मसुरीक	म स ु र ी क |
हरियरका	ह र ि य र क ा |
भेटलासँ	भ े ट ल ा स ँ |
रिसर्चर	र ि स र ् च र |
निमाहै	न ि म ा ह ै |
मैग्नीशियम	म ै ग ् न ी श ि य म |
